Name_Search,Name,Price,Sold,Date_Crawl,Province_Of_Origin,Link_Item
áo polo nam,Áo Thun Polo Nam Nữ. vải Cotton Cao Cấp Mềm mát. Co Dãn 4 chiều. Chuẩn form. Sang trọng. Thanh lịch - PLM.POLOMAN,169.000,0,04/12/2022,TP. Hồ Chí Minh,https://shopee.vn/%C3%81o-Thun-Polo-Nam-N%E1%BB%AF-v%E1%BA%A3i-Cotton-Cao-C%E1%BA%A5p-M%E1%BB%81m-m%C3%A1t-Co-D%C3%A3n-4-chi%E1%BB%81u-Chu%E1%BA%A9n-form-Sang-tr%E1%BB%8Dng-Thanh-l%E1%BB%8Bch-PLM.POLOMAN-i.898406103.18561339345?sp_atk=9a5ca808-97aa-41ed-ab4a-97a40cec8a30&xptdk=9a5ca808-97aa-41ed-ab4a-97a40cec8a30
áo polo nam,Áo thun polo nam trơn basic đẹp MATANO PO064 vải cá sấu cotton thoáng mát. co giãn tốt. thanh lịch,179.000,3300,04/12/2022,TP. Hồ Chí Minh,https://shopee.vn/%C3%81o-thun-polo-nam-tr%C6%A1n-basic-%C4%91%E1%BA%B9p-MATANO-PO064-v%E1%BA%A3i-c%C3%A1-s%E1%BA%A5u-cotton-tho%C3%A1ng-m%C3%A1t-co-gi%C3%A3n-t%E1%BB%91t-thanh-l%E1%BB%8Bch-i.426174340.9644693391?sp_atk=39f70e96-eb8f-43d8-a678-95f6fba071a2&xptdk=39f70e96-eb8f-43d8-a678-95f6fba071a2
áo polo nam,Áo Polo nam có cổ RAKEN LEEVUS màu trắng xanh đen. thêu logo. vải CVC cá sấu. form regular APL266,299.000,628,04/12/2022,TP. Hồ Chí Minh,https://shopee.vn/%C3%81o-Polo-nam-c%C3%B3-c%E1%BB%95-RAKEN-LEEVUS-m%C3%A0u-tr%E1%BA%AFng-xanh-%C4%91en-th%C3%AAu-logo-v%E1%BA%A3i-CVC-c%C3%A1-s%E1%BA%A5u-form-regular-APL266-i.147229880.20140093814?sp_atk=7ddc13de-5c6f-4c5d-897a-84cf1d42205b&xptdk=7ddc13de-5c6f-4c5d-897a-84cf1d42205b
áo polo nam,Áo phông thun polo nam Galvin cotton cá sấu trắng đen tay ngắn lỡ cổ bẻ Leo Vatino 12A,169.000,7800,04/12/2022,Hà Nội,https://shopee.vn/%C3%81o-ph%C3%B4ng-thun-polo-nam-Galvin-cotton-c%C3%A1-s%E1%BA%A5u-tr%E1%BA%AFng-%C4%91en-tay-ng%E1%BA%AFn-l%E1%BB%A1-c%E1%BB%95-b%E1%BA%BB-Leo-Vatino-12A-i.277678439.5179838269?sp_atk=2fec8ab0-d2a7-4e2e-8f04-8b78b93c8762&xptdk=2fec8ab0-d2a7-4e2e-8f04-8b78b93c8762
áo polo nam,[Mã BMLT100 giảm đến 100K đơn 499K] Áo thun polo Galvin cổ bẻ bo dệt kim chất cotton cá sấu co giãn PLGV12B,169.000,1600,04/12/2022,Hà Nội,https://shopee.vn/-M%C3%A3-BMLT100-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-100K-%C4%91%C6%A1n-499K-%C3%81o-thun-polo-Galvin-c%E1%BB%95-b%E1%BA%BB-bo-d%E1%BB%87t-kim-ch%E1%BA%A5t-cotton-c%C3%A1-s%E1%BA%A5u-co-gi%C3%A3n-PLGV12B-i.277678439.3486901623?sp_atk=0c728046-5349-46a9-bb7a-45571f2fed2b&xptdk=0c728046-5349-46a9-bb7a-45571f2fed2b
áo polo nam,Áo thun nam Có Cổ - Áo Thun Nam POLO thiết kế vải cotton cá sấu cao cấp ngắn tay cực sang trọng và lịch lãm ATZ-00,30.000 - 88.500,94,04/12/2022,TP. Hồ Chí Minh,https://shopee.vn/%C3%81o-thun-nam-C%C3%B3-C%E1%BB%95-%C3%81o-Thun-Nam-POLO-thi%E1%BA%BFt-k%E1%BA%BF-v%E1%BA%A3i-cotton-c%C3%A1-s%E1%BA%A5u-cao-c%E1%BA%A5p-ng%E1%BA%AFn-tay-c%E1%BB%B1c-sang-tr%E1%BB%8Dng-v%C3%A0-l%E1%BB%8Bch-l%C3%A3m-ATZ-00-i.460257458.15075680345?sp_atk=f5c674ce-8209-4497-8ae7-d719a7a624dc&xptdk=f5c674ce-8209-4497-8ae7-d719a7a624dc
áo polo nam,ÁO POLO NAM THỜI TRANG(ẢNH THẬT),30.000,34,04/12/2022,Thanh Hóa,https://shopee.vn/%C3%81O-POLO-NAM-TH%E1%BB%9CI-TRANG(%E1%BA%A2NH-TH%E1%BA%ACT)-i.78152548.7488238322?sp_atk=64f2ad9d-9bab-41a6-8c80-ff40eb3399b7&xptdk=64f2ad9d-9bab-41a6-8c80-ff40eb3399b7
áo polo nam,Áo polo nam hoạ tiết loang cổ viền. chất thun co giãn 4c- Đ.STORE AP47,31.920,2,04/12/2022,Hải Dương,https://shopee.vn/%C3%81o-polo-nam-ho%E1%BA%A1-ti%E1%BA%BFt-loang-c%E1%BB%95-vi%E1%BB%81n-ch%E1%BA%A5t-thun-co-gi%C3%A3n-4c-%C4%90.STORE-AP47-i.220503755.14858171943?sp_atk=7b1c1435-a1b8-4494-b15f-82296f6e4e6f&xptdk=7b1c1435-a1b8-4494-b15f-82296f6e4e6f
áo polo nam,Áo Polo Nam cổ bẻ CM PL14 thun basic cộc tay vải cá sấu cotton phong cách trẻ trung chuẩn form nhiều màu,32.480,14,04/12/2022,Hải Dương,https://shopee.vn/%C3%81o-Polo-Nam-c%E1%BB%95-b%E1%BA%BB-CM-PL14-thun-basic-c%E1%BB%99c-tay-v%E1%BA%A3i-c%C3%A1-s%E1%BA%A5u-cotton-phong-c%C3%A1ch-tr%E1%BA%BB-trung-chu%E1%BA%A9n-form-nhi%E1%BB%81u-m%C3%A0u-i.220503755.16414282135?sp_atk=e500c6cb-56ff-4bde-8abe-3a1883a651f6&xptdk=e500c6cb-56ff-4bde-8abe-3a1883a651f6
áo polo nam,Áo polo nam CM cổ bẻ phối viền chất thun cotton co giãn- AP45,32.480,23,04/12/2022,Hải Dương,https://shopee.vn/%C3%81o-polo-nam-CM-c%E1%BB%95-b%E1%BA%BB-ph%E1%BB%91i-vi%E1%BB%81n-ch%E1%BA%A5t-thun-cotton-co-gi%C3%A3n-AP45-i.220506598.17008455461?sp_atk=2be6c82b-79d1-4bf7-8456-850e739eb189&xptdk=2be6c82b-79d1-4bf7-8456-850e739eb189
